;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios
;Municípioarrow_upward;UFarrow_upward;Smartline CAT (2012 a 2020)arrow_upward;Variação CAT (2019-2020)arrow_upward;Smartline B91 (2012 a 2020)arrow_upward;Variação B91 (2019-2020)arrow_upward;Smartline B31 (2012 a 2020)arrow_upward;Variação B31 (2019-2020)arrow_upward;Smartline SINAN (2007 a 2020)arrow_upward;Variação SINAN (2019-2020)arrow_upward
0;Araças;BA;36  7;+40%;10  0;de 2 para 0;41  26;-16,1%;2  2;-33,3%
1;Santa Rita de Cássia;BA;6  7;+16,7%;1  0;de 5 para 0;124  150;-4,5%;10  74;+640%
2;Lajedão;BA;48  7;+600%;2  0;de 2 para 0;30  13;-50%;0  2;-50%
3;Canavieiras;BA;3  7;-22,2%;18  4;-66,7%;146  141;-26,6%;3  10;+25%
4;Capim Grosso;BA;6  7;-41,7%;7  2;-80%;224  273;-15,5%;1  45;+275%
5;Itambé;BA;5  7;-36,4%;13  1;-94,4%;163  142;-20,2%;21  29;+45%
6;Teodoro Sampaio;BA;3  7;+250%;1  2;-33,3%;23  31;-36,7%;0  7;+250%
7;Serra do Ramalho;BA;11  6;-25%;24  12;-52%;186  279;+2,2%;2  2;-33,3%
8;Miguel Calmon;BA;4  6;-25%;23  3;-50%;300  243;-27%;0  13;+30%
9;Encruzilhada;BA;8  6;+20%;5  1;-66,7%;49  76;-16,5%;13  38;+35,7%
0;Ourolândia;BA;4  6;-33,3%;4  4;0%;98  92;-18,6%;3  31;+244,4%
1;Xique-Xique;BA;8  6;-40%;17  1;-88,9%;244  196;-19,7%;6  1;de 0 para 1
2;Itororó;BA;3  6;+50%;8  10;-16,7%;167  120;-20%;17  14;+27,3%
3;Santa Bárbara;BA;5  6;+100%;3  4;-20%;195  153;-19,5%;0  2;-33,3%
4;Madre de Deus;BA;30  6;-53,8%;17  7;-53,3%;99  86;-16,5%;0  3;de 0 para 3
5;Ubaitaba;BA;4  6;+50%;7  1;-75%;76  56;-21,1%;0  5;+66,7%
6;Valente;BA;15  6;-45,5%;20  2;-84,6%;208  148;-30,2%;1  10;-52,4%
7;Gandu;BA;14  6;-57,1%;18  3;-75%;123  143;-5,9%;7  137;+11,4%
8;Una;BA;22  6;-50%;4  6;-53,8%;63  94;+32,4%;0  16;0%
9;Macaúbas;BA;8  6;-14,3%;58  4;-60%;287  361;-32,8%;0  5;+400%
0;Nordestina;BA;2  6;+20%;0  0;de 4 para 0;35  40;-37,5%;0  2;-33,3%
1;Laje;BA;11  6;-64,7%;12  4;-75%;319  148;-25,6%;13  21;-16%
2;Remanso;BA;10  6;+20%;25  0;de 10 para 0;264  195;-15,9%;7  9;+28,6%
3;Ipupiara;BA;0  6;+500%;4  1;-80%;67  38;-44,1%;2  2;-66,7%
4;Ibitiara;BA;6  6;+500%;2  2;-33,3%;80  69;-36,1%;5  7;-12,5%
5;Guaratinga;BA;10  5;-44,4%;19  1;-85,7%;44  48;+33,3%;1  10;-23,1%
6;Barra do Choça;BA;5  5;-50%;25  7;-68,2%;143  201;+3,1%;13  30;+20%
7;Bom Jesus da Serra;BA;0  5;-16,7%;6  3;0%;87  55;-55,3%;0  13;-50%
8;Itagibá;BA;36  5;-16,7%;11  3;0%;65  67;+6,3%;1  5;+66,7%
9;Irará;BA;8  5;0%;5  1;-75%;198  118;-39,5%;11  26;+766,7%
0;Morro do Chapéu;BA;5  5;-50%;12  5;-16,7%;428  326;-7,9%;4  135;+159,6%
1;Potiraguá;BA;1  5;+66,7%;4  3;+200%;26  40;+21,2%;18  13;-40,9%
2;Macajuba;BA;0  5;+150%;0  0;de 1 para 0;30  45;-27,4%;0  0;de 1 para 0
3;Conceição do Almeida;BA;3  5;+400%;6  2;-50%;163  121;+6,1%;0  20;+185,7%
4;Riachão do Jacuípe;BA;13  5;-44,4%;22  4;-73,3%;204  186;-21,8%;0  20;+185,7%
5;Candiba;BA;3  5;+400%;14  3;-40%;206  234;-6,4%;0  2;+100%
6;Planalto;BA;6  5;-44,4%;18  4;-66,7%;108  128;-27,3%;6  6;+20%
7;Cândido Sales;BA;5  5;-16,7%;12  7;+75%;79  90;-32,8%;19  26;+4%
8;Itaparica;BA;11  5;-50%;8  3;-40%;136  91;-5,2%;2  1;0%
9;Iguaí;BA;5  5;-16,7%;5  5;-58,3%;78  65;-24,4%;13  11;-54,2%
0;Itajuípe;BA;5  5;-16,7%;11  3;-76,9%;99  91;-13,3%;4  20;-13%
1;Rio Real;BA;8  5;+66,7%;5  0;de 6 para 0;106  100;-13,8%;9  73;+52,1%
2;Muquém de São Francisco;BA;7  4;+300%;4  1;-50%;74  32;-47,5%;1  15;de 0 para 15
3;São Gabriel;BA;1  4;+300%;8  1;-83,3%;196  117;-27,3%;12  30;+2.900%
4;Souto Soares;BA;5  4;+33,3%;15  5;-61,5%;165  164;-33,1%;0  10;+11,1%
5;Palmas de Monte Alto;BA;3  4;-60%;8  3;-76,9%;179  196;-31,9%;3  30;+87,5%
6;Ibirapitanga;BA;9  4;-42,9%;9  1;-87,5%;79  72;-19,1%;10  58;+241,2%
7;Umburanas;BA;0  4;-20%;3  1;0%;104  55;-24,7%;0  25;de 0 para 25
8;Manoel Vitorino;BA;2  4;+100%;5  2;-33,3%;57  73;-14,1%;0  5;-16,7%
9;Wanderley;BA;0  4;+300%;0  0;sem incidência;39  43;-23,2%;2  0;de 3 para 0
0;Rafael Jambeiro;BA;7  4;0%;12  2;-50%;172  59;-60,4%;0  6;0%
1;Igaporã;BA;3  4;de 0 para 4;13  3;-57,1%;120  132;-25,8%;17  0;sem incidência
2;Mairi;BA;0  4;0%;1  1;-50%;108  99;-38,1%;3  106;+1.225%
3;Brotas de Macaúbas;BA;2  4;de 0 para 4;5  0;de 2 para 0;46  51;-16,4%;0  6;-66,7%
4;Jussari;BA;1  4;+100%;1  0;de 2 para 0;14  10;-9,1%;3  4;-33,3%
5;Retirolândia;BA;5  4;+300%;17  3;-66,7%;196  141;-15,6%;0  2;-83,3%
6;Cristópolis;BA;0  4;+33,3%;1  1;0%;67  71;-12,3%;3  6;+500%
7;Pedro Alexandre;BA;1  4;de 0 para 4;2  1;de 0 para 1;40  36;-34,5%;0  9;+12,5%
8;Carinhanha;BA;5  4;+300%;10  0;de 5 para 0;166  225;-14,1%;0  7;+250%
9;Baianópolis;BA;1  4;+300%;2  3;+50%;89  84;-20%;12  82;+182,8%
0;Planaltino;BA;1  4;+33,3%;5  1;-66,7%;54  67;+48,9%;1  1;de 0 para 1
1;Conde;BA;4  4;-77,8%;4  0;de 4 para 0;37  42;+2,4%;5  1;de 0 para 1
2;Varzedo;BA;1  3;0%;9  0;de 2 para 0;117  69;-31%;0  1;0%
3;Pau Brasil;BA;4  3;-40%;7  1;-75%;36  35;-44,4%;3  9;-43,8%
4;Gavião;BA;2  3;+200%;2  0;de 2 para 0;21  34;+6,3%;0  3;-25%
5;Coaraci;BA;8  3;+50%;15  1;-83,3%;78  72;+4,3%;11  38;+46,2%
